timestamp,ch1,ch2,ch3,ch4,ch5,ch6
1756456630.8206863,-325.62,-373.9,-303.36,-367.46,-283.51,-255.61
1756456630.8241072,-325.89,-373.63,-303.63,-366.93,-284.05,-255.35
1756456630.828594,-325.35,-373.9,-303.36,-366.66,-283.51,-255.88
1756456630.832014,-325.62,-374.17,-303.36,-366.93,-283.24,-255.61
1756456630.8364966,-326.16,-373.9,-304.16,-366.93,-283.51,-255.08
1756456630.8409822,-325.89,-374.44,-304.16,-367.46,-284.58,-255.08
1756456630.8443995,-325.62,-374.17,-303.36,-366.93,-283.24,-255.35
1756456630.84889,-325.35,-373.9,-303.63,-367.73,-282.7,-255.35
1756456630.85231,-325.35,-373.63,-303.89,-366.93,-283.51,-255.61
1756456630.8567955,-325.08,-374.17,-304.16,-366.12,-284.05,-254.81
1756456630.8602166,-325.62,-374.44,-303.63,-366.66,-284.31,-254.54
1756456630.8647006,-326.16,-374.17,-304.43,-366.93,-283.78,-256.15
1756456630.8681192,-325.08,-373.63,-304.16,-366.39,-283.24,-255.88
1756456630.8726065,-325.62,-374.17,-304.7,-366.39,-282.97,-254.81
1756456630.8760242,-326.42,-373.63,-304.7,-367.19,-283.51,-254.81
1756456630.8805096,-325.62,-373.9,-304.43,-367.19,-283.78,-256.69
1756456630.8850043,-325.08,-373.9,-304.16,-366.93,-282.97,-255.88
1756456630.8884246,-325.89,-372.83,-303.63,-367.19,-283.51,-254.81
1756456630.892911,-325.89,-373.1,-303.63,-367.46,-283.78,-255.35
1756456630.8963304,-325.35,-373.9,-304.43,-366.66,-283.51,-255.88
1756456630.9008164,-325.62,-374.7,-304.16,-366.66,-282.97,-255.35
1756456630.904229,-325.35,-374.7,-303.36,-367.19,-283.78,-255.35
1756456630.9087136,-325.89,-374.7,-303.63,-367.46,-284.05,-254.54
1756456630.9121304,-325.35,-374.44,-303.89,-367.46,-283.78,-255.35
1756456630.9166245,-325.35,-374.7,-303.89,-366.93,-283.51,-254.81
1756456630.9200435,-325.89,-374.7,-304.43,-366.66,-284.05,-254.81
1756456630.9245358,-325.62,-374.7,-304.16,-366.93,-284.05,-255.35
1756456630.9290276,-324.82,-373.9,-304.43,-366.93,-283.78,-255.35
1756456630.9324439,-325.62,-373.9,-304.16,-366.12,-283.24,-255.88
1756456630.936928,-326.16,-374.7,-303.09,-366.93,-284.31,-256.15
1756456630.9403493,-325.08,-373.9,-302.82,-367.19,-284.31,-255.08
1756456630.9448338,-325.62,-373.63,-303.09,-366.66,-283.51,-255.35
1756456630.9482548,-325.62,-373.9,-303.89,-365.85,-283.78,-254.81
1756456630.9527426,-325.08,-373.9,-304.16,-365.32,-282.97,-255.61
1756456630.9561615,-325.62,-373.63,-303.36,-366.93,-283.78,-255.88
1756456630.9606426,-325.89,-373.63,-303.89,-367.19,-284.05,-256.15
1756456630.964055,-325.08,-374.7,-303.36,-366.39,-284.31,-256.15
1756456630.968538,-324.82,-373.9,-303.09,-366.66,-284.05,-256.69
1756456630.9730196,-324.82,-373.36,-303.63,-367.19,-283.24,-255.88
1756456630.9764352,-325.08,-373.63,-303.63,-367.19,-283.51,-255.08
1756456630.9809194,-326.16,-373.9,-303.09,-367.19,-282.7,-255.35
1756456630.9843361,-325.89,-374.7,-302.82,-366.66,-282.44,-255.88
1756456630.988819,-325.08,-374.7,-302.82,-366.66,-282.97,-255.61
1756456630.9922273,-325.08,-374.44,-303.63,-366.39,-283.24,-255.35
1756456630.9967115,-325.62,-374.17,-303.63,-365.85,-283.51,-255.88
